MLS Number,Last Change Timestamp,Type,Status,List Price,Street #,Street Dir,Street Name,Street Type,Unit #,Building #,City,State,Zip Code,County,Parcel Number,Locale,Complex Name,Incorporated,Total Baths,Total Bedrooms,Bathrooms Total Basement,Bathrooms Total Lower,Bathrooms Total Main,Bathrooms Total Upper,Bedrooms Total Basement,Bedrooms Total Lower,Bedrooms Total Main,Bedrooms Total Upper,SqFt Above,SqFt Finished,SqFt Total,Date Measured,Measurement Source,PSF Total,PSF Finished,PSF Above Grade,Garage Spaces Count,Total Parking Spaces,Total Garage Spaces,Total Carport Spaces,Total Offstreet Spaces,Total Reserved Spaces,Total RV Spaces,Parking Features,Property Information,Construction Details,Interior Features,Smart Home Features,Laundry,Flooring,Appliances,# Fireplaces,Fireplace Types,Fireplace Locations,Heating Type,Fuel Type,Cooling,Other HVAC,Exterior Features,Public Remarks,Broker Remarks,Basement Size,Basement % Finished,Basement Finished,SqFt Basement,Basement Type,Subfloor / Foundation Type,SqFt Lower,SqFt Main,SqFt Upper,SqFt Other Finished,Other Finished Description,Style,Exterior Materials,Construction,Architecture,Roofing Material,Builder Name,Model,Year Built,End Unit,# of Stories in this Unit,Unit Floor Level,Unit Count,Style Characteristics,Elementary School,Middle School,High School,School District,School Of Choice,HOA Y/N,Multiple HOAs,Master HOA,Master HOA Fee,Master HOA Fee Quoted,Master HOA Phone #,Master HOA Website,Master HOA Type,2nd HOA,2nd HOA Fee,2nd HOA Fee Quoted,2nd HOA Phone #,2nd HOA Website,2nd HOA Type,3rd HOA,3rd HOA Fee,3rd HOA Fee Quoted,3rd HOA Phone #,3rd HOA Website,3rd HOA Type,HOA Includes,Restrictions & Covenants,Site Description,Site Type,Site Topography,Front Faces,Views,Water/Mineral Rights,Primary Access,Accessed By,Horse Property,Livestock (Other Animals Allowed),Horse Property Features,Outdoor Arena SqFt (Horse),Paddocks SqFt (Horse),Outbuildings Available,# of Additional Structures,Zoning,Lot Size Acres,Lot Size SqFt,Water Source,Well Type,Well Depth,Permitted Well Uses,Sewer,Financial Terms,Earnest Check To,Minimum Earnest Amount,Title Company,Possession,Exclusions,Submitted Prospect,Buyer Agency Compensation,Transaction Broker Compensation,Variable Commission,Limited Service,Listing Contract Type,Other Listing Contract Type,Taxes,Tax Year,Senior Tax Exemption,Directions,DOM,CDOM,List Date,Original List Price,Listing Agent Name,Listing Agent ID,Listing Agent Direct Work Phone,Listing Agent Email,Listing Office Name,Listing Office ID,Listing Office Phone,Showing Phone,Showing Email,Showing Notes,Status Contractual Search Date,Under Contract Date,Sold Date,Sold Price,Appraised Value,Concession Amount,Concessions,Sold Term,Broker Buyer Paid By,Seller Type,Selling Agent Name,Selling Agent ID,Selling Office Name,Selling Office ID,Co Selling Agent Direct Work Phone,Co Selling Agent Email,Co Selling Agent ID,Co Selling Agent Name,Co Selling Office ID,Co Selling Office Name,Co Selling Office Phone,Virtual Tour URL Unbranded,Latitude,Longitude,Walk Score,HERS Rating Year Certified,Home Energy Score,HERS Score,Energy Star Qualified Home Year Certified ,LEED Year Certified,LEED Level,NAHB/ICC-700 Year Certified,NAHB/ICC-700 Level,Solar PV Year Installed,Solar PV Kilowatts,Solar Thermal Year Installed,Solar Thermal Type,Green Other Certifications,Energy Green Features Addendum Uploaded,Distance To Bus,Distance To Light Rail,Distance To Other Transit,Public Transit Distance Type,HOA Transfer Amount,HOA Transfer Based On,Acres Crop,Acres Cultivate,Acres Irrigated,Acres Leased,Acres Pasture,Irrigation Type,Possible Use,Other Available Utilities,Fence,Survey,Features 
6072469,2/3/2017 13:08,Detached Single Family,Active,330000,10421,,Routt,Lane,,,Westminster,CO,80021,Jefferson,187509,countryside,,,2,3,0,1,0,1,0,1,0,2,924,1408,1408,2/1/2017 0:00,County Records,234.38,234.38,357.14,,2,2,0,0,0,0,,1031 Exchange,,"Cable Available, Eating Space / Kitchen, Heated Basement",,,"Carpet, Laminate, Tile Floor","Dishwasher, Disposal, Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven",1,,Basement,Forced Air,Gas,None,,"Balcony, Fence, Yard","Please be patient with a hold on showing while improvements are being made.  The investor/low ball offers have not been apriciated and seller is making improvements. Take a look at 10370 Routt St for comp (without the view) if improvements are made.  This is a great chance to get sweat equity which is hard to find these days.  Location, location.  3 Bd/2 bath, 2 car garage in convenient location between Denver and Boulder.  Situated with full mountain views off back deck, across  the street from open space dog park and blocks from Stanley Lake.  Priced for buyer to make and add personal touches and a little TLC, owner will begin making upgrades and as completed, price will be adjusted accordingly.  Donâ€™t miss out on this opportunity to get into this highly desirable neighborhood and make this your dream home!","Please be patient with a hold on showing while the drive way is being redone.  The tenant will be here until the end of May with current rent set at $1,100.  They could vacate sooner if someone pays them an early removal fee. This home could use all new flooring, appliances, interior paint and kitchen cabinets need help.  Seller has no knowledge of condition of the home because it has not been owner occupied for 8 years.",Partial,100,TRUE,484,Garden Level,,484,,,,,Multi-Level,Wood Siding,Frame,,Composition Shingles,,,1986,,,,,,Lukas,Wayne Carle,Standley Lake,Jefferson R-1,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Adjacent to Open Space, Adjacent to Park",,,East,Mountain View,,,,,,,,,,,R,0.15,6719,,,,,,"Cash, Conventional, FHA, VA",3000,,First American,negotiable,personal belongings,FALSE,2.80%,2.80%,FALSE,FALSE,Exclusive Right,,1308,2015,FALSE,,20,20,2/3/2017 0:00,330000,Christie Vanorden,36057N,303-713-9000,CHRISTIEVANORDEN@YAHOO.COM,CHERRY CREEK PROPERTIES INC,CCP09,303-713-9000,303-573-7469,,When showings resume they are asking for 2 hour notice.  If you would like to be notified when showings resume please set up a showing even though you will be denied.  I will send a mass email as soon as showings resume to all that have requested a showing.,2/3/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,,39.885791,-105.128303,11,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
4321184,2/22/2017 13:56,Attached Single Family,Active,329900,9683,,Independence,Drive,,,Westminster,CO,80021,Jefferson,419049,Westminster,Village at Horizon Pointe,,3,2,0,0,1,2,0,0,0,2,1567,1567,2399,,County Records,137.52,210.53,210.53,,2,2,0,0,0,0,,,,"Built-Ins, Cable Available, Double Pane Windows, Eating Space / Kitchen, Five Piece Bath, Interior Basement Entrance, Kitchen Island, Master Bath, Master Suite, Open Floor Plan, Remodeled, Updated, Vaulted, Walk-in Closets, Window Coverings",,Washer/Dryer Included,"Carpet, Tile Floor, Wood Floors","Dishwasher, Microwave Oven, Smoke Alarm, Stove/Range/Oven",1,Gas/Gas Logs,Living Room,Forced Air,Gas,Air Conditioning-Central,,"Covered Patio, Front Porch, Garden Area, Professional Landscaping","Impeccably maintained town home featuring endless modern upgrades.  Hardwood floors throughout main level of the home.  Open-concept main level with incredible natural light pouring in.  Vaulted ceiling with an upstairs loft area.   Brand new carpet installed. Slab granite counter tops in Kitchen and all bathrooms.  New stainless steel appliances installed 1 year ago (refrigerator is excluded). All bathrooms were redone with slab granite, undermount sinks, stainless faucets and hardware, and new tile.  Master Bath features a Euro glass shower and tub surrounded by beautiful new tile.  Great closet system already installed in the spacious master closet.  Laundry closet in conveniently located upstairs, washer and dryer are both included.  Spacious 2-car attached garage.  Full, unfinished basement.  HOA covers water, trash, snow removal, and all exterior maintenance and roof - replaced roof 1.5 yrs ago.","Showings to start on Friday 02/24 with appointment. Go and show anytime Saturday and Sunday.  Seller will review all offers on Monday 2/27 evening. Seller is requesting a 3 day rent back, but this is negotiable based on buyer needs.",Full,,FALSE,832,Standard,,832,832,735,,,Townhouse,Wood Siding,Frame,Quadplex (1 unit),Composition Shingles,,,1995,FALSE,3,,4,Side-by-Side,Lukas,Wayne Carle,Standley Lake,Jefferson R-1,,TRUE,,Village at Horizon Pointe Association,225,Monthly,(303) 457-1444,http://www.homesteadmgmt.com/villageathorizonpointe/home.asp,Professionally Managed,,,,,,,,,,,,,"Exterior Maintenance w/ Roof, Grounds Maintenance, Insurance, Snow Removal, Trash Removal, Water",,Adjacent to Open Space,,,Southeast,,,,,,,,,,,,,,,Public,,,,Public,"Cash, Conventional",Chicago Title Colorado,4000,Chicago Title Colorado,Buyer is requesting a 3 day rent back,Whirlpool Refrigerator installed in Kitchen Samsung Refrigerator in garage Speakers hung on walls,FALSE,2.80%,2.80%,FALSE,FALSE,Exclusive Right,,1455,2015,FALSE,,1,1,2/22/2017 0:00,329900,Gilda Zaragoza,57253,646-526-8682,gilda@invalescore.com,Shorewood Real Estate Denver,PCO90,303-756-2999,888-229-2208,,Showings start Friday 2/24 Showing restricted to Fridays (with approval) and all day Saturday and Sundays.,2/22/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,http://tours.mediamaxphotography.com/701142?idx=1,39.872759,-105.096918,55,,,,,,,,,,,,,,FALSE,0.2,6,,Miles,$200 ,Flat Fee,,,,,,,,,,,
1856969,2/13/2017 11:39,Attached Single Family,Active,325000,3327,W,114th,Circle,F,,Westminster,CO,80031,Adams,R0032409,Brittany Terrace,Brittany Ridge / Stratford Lakes,,3,2,1,0,2,0,1,0,1,0,1102,1762,1762,2/13/2017 0:00,County Records,184.45,184.45,294.92,,2,2,0,0,0,0,"Dry Walled, Insulated, Tandem",,,"Built-Ins, Double Pane Windows, Eating Space / Kitchen, Exterior Basement Entrance, Five Piece Bath, Heated Basement, Interior Basement Entrance, Master Bath, Master Suite, Open Floor Plan, Smoke Free, Walk-in Closets, Wet Bar, Window Coverings",,Washer/Dryer Included,"Carpet, Tile Floor","Dishwasher, Disposal, Dryer, Microwave Oven, Refrigerator (Kitchen), Stove/Range/Oven",1,Gas/Gas Logs,Living Room,Forced Air,Gas,Air Conditioning-Central,,"Covered Patio, Deck, Front Porch, Pond/Lake, Professional Landscaping, Sprinkler System, Tennis Court, Private, Yard","Impeccably Maintained Townhome in Beautiful Community. Natural Light Filled Unit with Yard that Lives Like a Single Family Home. Open Concept Main Floor with the Living Room, Dining Area and Kitchen Seamlessly Integrating. Kitchen Features Recessed Ceiling, Tiled Flooring, Abundant Cabinetry and All Appliances Included. Mountain Views from Dining Room, Coved Living Room Windows and Deck. Main Floor Master Boasts Dual Closets and Five Piece Master Bath with Soaker Tub, Dual Sink Vanity, Enclosed Water Closet and Shower. Walk-Out Basement Includes Full Bath, Family Room, Wet Bar, Storage and Bedroom with Walk-In Closet. Two Car Attached Tandem Garage. Low Maintenance Home with HOA Responsible for the Exterior. Serene Setting with Multiple Ponds, Parks, Community Pool and Tennis Courts.","Ideally, Possession After April 16th, but that is Negotiable. Closing Could be Sooner and Preferable.",Partial,100,TRUE,660,Walk-Out,,,1102,,,,Townhouse,Wood Siding,Frame,,Composition Shingles,,,1991,TRUE,2,,,Side-by-Side,Cotton Creek,Westlake,Legacy,Adams 12 5 Star Schl,,TRUE,TRUE,Brittany Terrace / MSI,310,Monthly,(303) 420-4433,www.msihoa.com,Professionally Managed,Stratford Lakes / MSI,182,Quarterly,(303) 420-4433,www.msihoa.com,Professionally Managed,,,,,,,"Clubhouse, Community Pool, Exterior Maintenance w/ Roof, Grounds Maintenance, Insurance, Sewer, Snow Removal, Tennis Courts, Trash Removal, Water",,"Adjacent to Open Space, Near Public Transit",,,,Mountain View,,,,,,,,,,,,0.05,2085,Community,,,,Community,"Cash, Conventional, FHA, VA",First Alliance Title,5000,First Alliance Title,Negotiable,None,TRUE,2.80%,2.80%,FALSE,FALSE,Exclusive Right,,992,2015,TRUE,"Federal to Stratford Lakes Drive. Make Left on W. 114th Circle and Take First Right on to W. 114th Circle. Home will be on Right, but Will Need to Park on Other Side of Street. Unit F.",10,10,2/13/2017 0:00,325000,ANDREW DARLINGTON,38089,303-917-7144,ANDREW@YOURCASTLE.ORG,Your Castle Real Estate Inc,CASTL,303-962-4272,303-573-7469,,"Showings Start on Tuesday, February 14th.",2/13/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,http://tour.360prodmp.com/UnBranded/Z8YJHCRTWR,39.903908,-105.028633,25,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
5991551,2/21/2017 9:00,Detached Single Family,Active,325000,787,,Turpin,Way,,,Erie,CO,80516,Weld,R1312102,Grandview,,,2,2,0,0,2,0,0,0,2,0,1425,1425,1425,,,228.07,228.07,228.07,,2,2,0,0,0,0,,Tenant Occupied,,"Cable Available, Eating Space / Kitchen, Master Bath, Open Floor Plan, Pantry, Walk-in Closets",,,,"Dishwasher, Stove/Range/Oven",,,,Forced Air,Gas,Ceiling Fan,,"Deck, Fence, Sprinkler System, Yard","Amazing upscale ranch home nestled in the country quiet neighborhood of Grandview in Erie. Upon walking in you'll find a large study or formal living/dining area able to meet multiple needs.  Entertaining is easy to do with the inviting family room and large eat in kitchen with granite counter tops, stainless steel appliances with access to Trex deck and low maintenance rear yard that backs to area green belt. Other must have features include; bamboo flooring throughout, private, updated master bathroom with walk in closet and additional updated full bathroom. All this and an amazing Erie location that provides easy commutes to Denver or Boulder, short drive to area amenities like library, recreation center, local stores, restaurants and/or enjoy the day outside with nearby pocket parks and access to extensive community trail system","Showings to start Friday, February 24th. NO EXCEPTIONS. Prior day notice required. Showings allowed from 9am-6pm. All offers to be submitted by noon on Monday, February 27th with a response time of noon on Tuesday, February 28th. Seller reserves the right to accept any offer at any time.",None,,,,,,,1425,,,,Ranch/1 Story,Wood Siding,Frame,,Composition Shingles,,,2004,,,,,,Erie,Erie,Erie,St. Vrain Valley RE-1J,,TRUE,,MSI,180,Quarterly,303-420-4433,,Professionally Managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RES,0.11,5000,Public,,,,,"Cash, Conventional, FHA",RE/MAX Alliance,5000,,DOD And Funding,Tenant's personal property,FALSE,2.80%,2.80%,FALSE,FALSE,Exclusive Right,,1819,2015,FALSE,,2,2,2/21/2017 0:00,325000,Mike Gold,19692,303-666-6500,mike.gold@nmdre.com,RE/MAX ALLIANCE,0185B,303-666-6500,303-573-7469,,,2/21/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,,40.036379,-105.039509,9,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
3800354,2/20/2017 11:46,Detached Single Family,Active,325000,9319,,Flower,Court,,,Westminster,CO,80021,Jefferson,138436,Sunstream,,,2,3,0,1,0,1,0,1,0,2,1344,1344,1344,,,241.82,241.82,241.82,,4,4,0,0,0,0,,,,"Double Pane Windows, Eating Space / Kitchen, Smoke Free, Updated, Walk-in Closets, Window Coverings",,,"Carpet, Vinyl/Linoleum, Wood Floors","Dishwasher, Disposal, Dryer, Microwave Oven, Refrigerator (Kitchen), Refrigerator (Other), Smoke Alarm, Stove/Range/Oven, Washer",,,,"Baseboard, Forced Air","Gas, Solar",Evaporative Cooler (Swamp),Humidifier,"Covered Deck, Fence, Sprinkler System, Utility Shed, Yard","Sought after Sunstream Community located in a cul-de-sac and sits on a quarter of an acre lot! Walk to Oakhurst Park 1 & a few blocks to Standley Lake. Enjoy the main level formal living room and kitchen with granite counters, refinished cabinets, custom backsplash and eating space. Upper level master bedroom and secondary bedroom share a full bathroom. Lower level features family room, third bedroom, laundry with washer/dryer and powder bathroom. Large backyard perfect for entertaining with huge yard, covered deck and utility shed. Not only does this home have a two-car attached garage but a two-car detached as well. Prime location near parks, trails, schools and Standley Lake. Easy access to Wadsworth Parkway & Highway 36! Only 20 minutes to Boulder & Denver!","Home has solar panels for the hot water heater only. There are 4 working electric Baseboard heaters still in working condition installed at time of construction. Redlink Furnace system by Rheem & can be controlled by an app on your phone, High efficiency installed November 2015. Furnace 1 year old. Solar water heater 12 years old (3 panels on the roof). Windows replaced 15 years ago. **Offers being received. There will be no more showings after 3:00pm Friday, February 24th. Please submit highest and best within that timeframe. We will be reviewing offers late Friday night. 30 day rent back would be preferred but not required!",None,,,,,Crawl Space,,,,,,Tri-Level,"Brick, Other",Frame,,Composition Shingles,,,1977,,,,,,Lukas,Wayne Carle,Standley Lake,Jefferson R-1,,FALSE,,,,,,,,,,,,,,,,,,,,,,Cul-de-Sac,,,,,,,,,,,,,,,Residential,0.23,9971,Public,,,,Public,"Cash, Conventional, FHA, VA",First American Title Insurance Co,3500,First American Title Insurance Co,,None,FALSE,2.80%,2.80%,FALSE,FALSE,Exclusive Right,,1450,2015,FALSE,From Wadsworth Pkwy head South/West on N Independence Drive. Left on West 93rd Ave. Left on Garrison Drive. 1st right on Flower Court. Home will be 2nd house on the right.,3,3,2/20/2017 0:00,325000,Team Lassen,02029T,303-668-7007,info@teamlassen.com,MB TEAM LASSEN,MBJSL,303-410-0400,303-573-7469,,Setting a showing online will not work. Please call CSS directly for showing instructions and to set up showing times.,2/20/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,http://www.obeo.com/Public/Viewer/Unbranded.aspx?ID=1133493,39.865268,-105.099843,20,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
I810735,,Attached Single Family,Active,325000,3250,,Oneal,Circle,K-12,K,Boulder,CO,80301,Boulder,,,,,2,2,,,,,,,,,931,931,931,,County Records,,,,,0,,,,,,,,,"Cable Available, Open Floor Plan, Window Coverings",,,,"Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven",,,,Forced Air,,Air Conditioning-Central,,"Tennis Court, Private","Spacious two bd/1.5 bath ranch-style condo on the 1st floor in Arborwood. Very large family room and bedrooms. This unit makes the most of 931SF! Light and bright. Walking distance to restaurants,stores, 29th St Mall. Ground level unit w/patio. One reserved parking spot. Community amenities include pool, volleyball court, BBQ area, and a club house with a fitness center. Close to public transit, bike trails, and CU.  Property leased until May 31st 2017. Sale is subject to a 1031 exchange.","Please submit signed Lead Based Paint Disclosure found under Documents with any offer. Property leased until May 31st 2017.  Sale is subject to a 1031 exchange. Showings limited due to tenancy to Tues, Wed and Thurs 10am - 4pm. Please call listing agent, Angela, at 303-319-9019 to set up showing.",None,,,0,,,,931,0,,,Condominium,,Frame,,Composition Shingles,,,1969,FALSE,,1,,,Columbine,Casey,Boulder,,,TRUE,FALSE,Arborwood Condominiums,210,Monthly,303-468-3642,,Professionally Managed,,,,,,,,,,,,,"Clubhouse, Community Pool, Fitness Facility, Grounds Maintenance, Insurance, Sewer, Snow Removal, Tennis Courts, Trash Removal, Water",Pet Restrictions,,,,,,,,,FALSE,,,,,,,RES,,,Public,,,,Community,"Cash, Conventional",First Integrity Title Company,5000,,Delivery of Deed,Tenants personal belongings,,2.8,2.8,,,Exclusive Agency,,,2015,,,20,,2/4/2017 0:00,,Anne Kremer,A00503,(303) 319-9019,anne@newagere.com,ERA New Age,RNWGE,(720) 255-2162,,,LA: (303)319-9019,2/4/2017 0:00,,,,,0,,,,Individual,,,,,,,,,,,,,40.03311,-105.25087,73,0,,,0,0,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
I811817,,Detached Single Family,Active,325000,9319,,Flower,Court,,,Westminster,CO,80021,Jefferson,,,,,2,3,,,,,,,,,1344,1344,1344,,,,,,,4,4,,,,,,,,"Double Pane Windows, Eating Space / Kitchen, Walk-in Closets, Window Coverings",,W/D Hookups in Unit,Wood Floors,"Dishwasher, Disposal, Dryer, Microwave Oven, Refrigerator (Kitchen), Smoke Alarm, Washer",,,,"Baseboard, Forced Air",,Evaporative Cooler (Swamp),,"Deck, Sprinkler System","Sought after Sunstream Community located in a cul-de-sac and sits on a quarter of an acre lot! Walk to Oakhurst Park 1 & a few blocks to Standley Lake. Formal living room and kitchen with granite counters and eating space. Master bedroom, 2 secondary bedrooms & 2 bathrooms. Large backyard perfect for entertaining with huge yard, covered deck and utility shed. Not only does this home have a two-car attached garage but a two-car detached as well. Prime location near parks, trails & schools!","Solar panels for hot water heater only. 4 working electric Baseboard heaters in working condition installed at time of construction. Furnace can be controlled by an app, High efficiency installed Nov 2015. Furnace 1 year old. Solar water heater 12 years old. **Offers being received. There will be no more showings after 3:00pm Friday, 2/24. Please submit highest and best within that timeframe. We will be reviewing offers late Friday night. 30 day rent back would be preferred but not required!",None,,,0,,,,1344,0,,,Tri-Level,Brick,Frame,,Composition Shingles,,,1977,FALSE,,,,,Lukas,Wayne Carle,Standley Lake,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,Cul-de-Sac,,,,,,,,FALSE,,,,,,,RES,0.23,10019,Public,,,,Community,"Cash, Conventional, FHA, VA",First American Title Insurance Co,3500,,1-3 Days after Closing,None,,2.8,2.8,,,Exclusive Agency,,,2015,,,4,,2/20/2017 0:00,,,TM0106,(303) 668-7007,info@teamlassen.com,MB/Team Lassen,0MBTL,(303) 410-0400,,,CSS: (303)573-7469,2/20/2017 0:00,,,,,0,,,,Individual,,,,,,,,,,,,,39.86532,-105.09987,20,0,,,0,0,,,,,,,,,FALSE,,,,,,,,,,,,,,,Fully Fenced,,
I811849,,Detached Single Family,Active,325000,787,,Turpin,Way,,,Erie,CO,80516,Weld,,,,,2,2,,,,,,,,,1425,1425,1425,,County Records,,,,,2,2,,,,,,,,"Double Pane Windows, Eating Space / Kitchen, Open Floor Plan, Walk-in Closets",,W/D Hookups in Unit,Wood Floors,"Dishwasher, Disposal, Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven",,,,Forced Air,,Ceiling Fan,,Sprinkler System,"Amazing upscale ranch home in quiet neighborhood. Perfect for entertaining is found in the inviting family room & eat in kitchen w/ granite counter tops, SS appliances. Other features include; bamboo floors, updated master bath w/ walk in closet & additional updated full bath, Trex deck & low maintenance rear yard. All this & an amazing location that provides easy commutes, short drive to area amenities, nearby pocket parks & access to community trail system.","Showings start Friday February 24th- NP EXCEPTIONS. Prior day notice required. Showings allowed from 9am-6pm. All offers to be submitted by noon on Monday, February 27th with a response time of noon on Tuesday, February 28th. Seller reserves the right to accept any offer at any time.",None,,,0,,,,1425,0,,,Ranch/1 Story,,Frame,Contemporary,Composition Shingles,,,2004,FALSE,,,,,Erie,Erie,Erie,,,TRUE,FALSE,MSI,180,Quarterly,303-420-4433,,Professionally Managed,,,,,,,,,,,,,,,,,,South,,,,,FALSE,,,,,,,Res,0.11,5000,Public,,,,Community,"Cash, Conventional, FHA",RE/MAX Alliance,5000,,Delivery of Deed,Tenant's personal property,,2.8,2.8,,,Exclusive Right,,,2015,,,3,,2/21/2017 0:00,,Mike Gold,476380,(303) 327-6880,mgold@remax.net,RE/MAX Alliance-Lsvl,RXAD,(303) 666-6500,,,CSS: (303)573-7469,2/21/2017 0:00,,,,,0,,,,Individual,,,,,,,,,,,,,40.03638,-105.03947,9,0,,,0,0,,,,,,,,,FALSE,,,,,,,,,,,,,,,Fully Fenced,,
I811349,,Attached Single Family,Active,324900,600,,Manhattan,Drive,B3,,Boulder,CO,80303,Boulder,,,,,2,2,,,,,,,,,1152,1152,1152,,County Records,,,,,1,,1,,,,,,,"Cable Available, Double Pane Windows, Walk-in Closets, Window Coverings",,W/D Hookups in Unit,,"Dishwasher, Disposal, Dryer, Smoke Alarm, Stove/Range/Oven, Washer",,,Living Room,Forced Air,,Air Conditioning-Central,,Patio,"NEWLY REMODELED KITCHEN!! New granite countertops w/upgrades to the deep undersink, pull down faucet, & cabinets. End unit facing green belt/common area w/ generous sized concealed patio off family room w/fireplace. Newer flooring w/several new updates/refreshments throughout including bath & bedrooms. Assigned carport & in-unit laundry room included in this 2 bed/2 bathroom condo. Great location close to CU, US 36, downtown Boulder 15 minutes away, RTD across the street, pool & clubhouse.","Listing agent is CTM user. HOA Pet Restriction on dogs; 2 cats or 2 birds are allowed.  Buyer Agent Commission shall be limited to the lesser of 2.8% or the fee generally advertised by the Managing Brokers office or Buyers Agent as the standard fee or service fee, any commission questions please be sure to ask Listing Agent.",None,,,0,,,,1152,0,,,Condominium,Brick,Frame,Contemporary,Composition Shingles,,,1972,FALSE,,,,,Eisenhower,Manhattan,Fairview,,,TRUE,FALSE,Chateau Village North HOA,354,Monthly,303-952-4004,,,,,,,,,,,,,,,"Clubhouse, Community Pool, Grounds Maintenance, Insurance, Sewer, Snow Removal, Trash Removal, Water","Cats OK, Pet Restrictions",,,Flat,,,,,,FALSE,,,,,,,Res,,,Public,,,,Community,"Cash, Conventional",Land Title Guarantee Company,3000,,Delivery of Deed,,,2.8,2.8,,,Exclusive Agency,,,2015,,"Baseline & Foothills, go South, head West on Manhattan, building is on your left hand side",10,,2/14/2017 0:00,,Kevin Chard,Z20381,(303) 931-9468,kevin@phoenixrealtyinc.com,Phoenix Realty & Property Mngt,PHOE,(303) 666-4300,,,CSS: (303)573-7469,2/14/2017 0:00,,,,,0,,,,Individual,,,,,,,,,,,,http://www.circlepix.com/home/E2EBAS,39.998014,-105.228661,34,0,,,0,0,,,,,,,,,FALSE,,,,,,,,,,,,,,Internet Access (Wired),,,
6213249,2/21/2017 21:09,Detached Single Family,Active,320000,3007,W,127th,Avenue,,,Broomfield,CO,80020,Broomfield,R0023867,Columbine Meadows,,,2,3,0,0,0,2,0,0,0,3,1297,1297,1297,,County Records,246.72,246.72,246.72,,2,2,0,0,0,0,,,,"Cable Available, Double Pane Windows, Eating Space / Kitchen, Master Bath, Vaulted, Window Coverings",,,"Carpet, Tile Floor, Wood Floors","Dishwasher, Disposal, Microwave Oven, Refrigerator (Kitchen), Stove/Range/Oven",1,Wood,Family Room,Forced Air,Gas,Evaporative Cooler (Swamp),,"Deck, Fence, Front Porch, Yard","Back On Market Buyer Bailed! Welcoming Entry & Porch, Vaulted Living Space, 3 Beds, 2 Full Baths & Laundry Up! Updated Kitchen w/Wood and Stainless ,Comfy Family Room w/Lovely Fireplace Deck, Mature Trees, Perennial & Garden Beds! Tankless H2O Heater. 1 Yr Old  Ext Paint w/5 year Warranty Remaining.  Custom Mosaic and Updated Shower Tile in Master Bath w/2 Sinks. Steps to Parks, Near Open Space-Great Neighborhood, South Facing Less Shoveling! Ready For Your Touch! Seller Needs Time to Complete Purchase on Replacement Home. NO HOA! Flooring Concession Considered.",Don't Let Cats Out Or Approach Kenneled Dog! NO HOA!  Easy To Show - Flooring Concession - Listing agent uses CTMe. Buyer to verify all Information - Seller Needs Time to Complete Purchase on Replacement Home - Already Under Contract!! - Please call listing agent prior to submitting offer.,None,,,,,,,,1297,,,Tri-Level,Wood Siding,Frame,Contemporary,Composition Shingles,,,1986,,,,,,Mountain View,Westlake,Legacy,Adams 12 5 Star Schl,,FALSE,,,,,,,,,,,,,,,,,,,,,,Near Public Transit,,"Aspens, Flat, Wooded",Southwest,,,,,FALSE,,,,,,,R-PUD,0.09,3936,Public,,,,Public,"Cash, Conventional, FHA",Land Title,4000,Land Title,Upon Delivery of Funds and Deed,"Sellers Personal Property, Clothes Washer & Dryer",FALSE,2.80%,2.80%,FALSE,FALSE,Exclusive Right,,1990,2015,FALSE,"South On Hazel From E Midway Blvd to W 127th Ave, East to home on North side of street.",5,5,2/15/2017 0:00,320000,James Button,28708N,303-547-4776,james@jamesbuttonco.com,Keller Williams Integrity Real Estate LLC,KWR01,303-722-3300,303-573-7469,,,2/15/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,http://tours.virtuance.com/public/vtour/display/698614,39.928092,-105.0259,38,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
